id,title,original_folder,archive_part,master_file,stem_count,midi_count,file_count,bytes
63,Hodie Christus natus est a 4 (Giovanni Pierluigi da Palestrina),0487,1,63_master.mp3,4,4,11,26014000
64,In questo di si bello (Lodovico Agostini),0492,1,64_master.mp3,4,4,11,40417333
65,Le voulez vous (Jacotin),0494,1,65_master.mp3,4,4,11,19614690
66,Contre raison trop m'as voulu (Anonymous),0497,1,66_master.mp3,4,4,11,14411916
67,Of all the birds (John Bartlet),0501,1,67_master.mp3,4,4,11,8684116
68,Bench'l misero cor (Philippe Verdelot),0519,1,68_master.mp3,4,4,11,18928542
70,how sweet the answer echo makes,0617,1,70_master.mp3,4,4,11,26261958
72,Force sera si de brief (Thomas Crecquillon),0632,1,72_master.mp3,4,4,11,23880918
76,Mort et fortune (Nicolas Gombert),0655,1,76_master.mp3,4,4,11,18814699
77,Ascendens Christus (Jacob Handl),0668,1,77_master.mp3,4,4,11,19294712
79,Gloriosi principes (Giovanni Pierluigi da Palestrina),0681,1,79_master.mp3,4,4,11,25616262
80,"Benedic, anima mea, Domino a 4 (Orlando di Lasso)",0752,1,80_master.mp3,4,4,11,23268675
82,Belle commre (Decapella),0757,1,82_master.mp3,4,4,11,8415007
83,Non al suo amante (Giovanni de Macque),0762,1,83_master.mp3,4,4,11,30414859
84,Hymnus Eucharisticus (Benjamin Rogers),0764,1,84_master.mp3,4,4,11,10011633
87,Weep you no more sad fountains (John Dowland),0797,1,87_master.mp3,4,4,11,14817358
91,Lisa Ln (Gustav Holst),0817,1,91_master.mp3,4,4,11,9008441
93,"Cucu, cucu! (Juan del Encina)",0840,1,93_master.mp3,4,4,11,10811562
94,Elle craint cela (Clment Janequin),0844,1,94_master.mp3,4,4,11,15519424
96,Utica (Hezekiah Moors),0849,1,96_master.mp3,4,4,11,4828295
99,Rejoice in the Lord alway (Anonymous),0874,1,99_master.mp3,4,4,11,33619435
102,"Wachet auf, ruft uns die Stimme, BWV 140 (Johann Sebastian Bach)",0891,2,102_master.mp3,4,4,11,21215035
104,"Not unto us, oh Lord (Thomas Attwood Walmisley)",0894,2,104_master.mp3,4,6,13,37624374
108,Doulce memoire (Pierre Sandrin),0908,2,108_master.mp3,4,4,11,25368055
111,Queste non son pi lagrime (Orlando di Lasso),0918,2,111_master.mp3,4,4,11,27842755
112,There is a land of pure delight (William Marsh),0926,2,112_master.mp3,4,4,11,9213444
114,Fly not so swift my dear (John Wilbye),0940,2,114_master.mp3,4,6,13,36978152
118,Salvator mundi (Giovanni Pierluigi da Palestrina),0950,2,118_master.mp3,4,4,11,45811599
119,Loudon (Samuel Holyoke),0958,2,119_master.mp3,4,4,11,7209934
122,What if I never speed (John Dowland),0997,2,122_master.mp3,4,4,11,17559903
125,Onze Vader (Joachim Kelecom),1044,2,125_master.mp3,4,6,13,16168271
126,Dartmouth (Amos Pilsbury),1047,2,126_master.mp3,4,4,11,10491027
127,Laudate pueri Dominum (Felice Anerio),1048,2,127_master.mp3,4,4,11,34316736
128,A prayer (Giles Farnaby),1051,2,128_master.mp3,4,4,11,8412250
130,Je nose estre content (Claudin de Sermisy),1121,2,130_master.mp3,4,4,11,12014151
135,"O sing unto the Lord, Z 44 (Henry Purcell)",1163,2,135_master.mp3,4,6,13,79050287
136,In convertendo (Giovanni Bernardino Nanino),1167,2,136_master.mp3,3,4,10,44580502
138,"Doleo super te, Absolon (Benedictus Appenzeller)",1170,2,138_master.mp3,4,4,11,27215653
140,yczenie - Mdchens Wunsch (Frdric Chopin),1190,2,140_master.mp3,4,4,11,6914723
141,When icicles hang by the wall (George Alexander Macfarren),1206,2,141_master.mp3,5,6,14,20304215
142,Wash me throughly (Samuel Sebastian Wesley),1208,2,142_master.mp3,5,6,14,60267096
143,Chi  fermato di menar sua vita (Orlando di Lasso),1209,2,143_master.mp3,4,4,11,20985944
145,Yo me estaba reposando (Juan del Encina),1219,2,145_master.mp3,4,4,11,10407616
146,I glory in the word of God (John Arnold),1222,2,146_master.mp3,4,4,11,8809719
149,He that hath made his refuge God (Langport) (Thomas Clark),1229,2,149_master.mp3,4,4,11,4565812
150,Hellas pour quoy (Pierre Lescornet),1230,2,150_master.mp3,4,4,11,30413170
151,Dixit Dominus (Alessandro Grandi),1232,2,151_master.mp3,4,4,11,40184617
159,Absolve Domine (Peter Cornelius),4156,2,159_master.mp3,4,4,11,22134119
161,"Adoramus te, Christe (Jacobus Clemens non Papa)",3819,2,161_master.mp3,4,4,11,9023234
162,"Adoramus te, Christe II (Giacomo Antonio Perti)",3326,2,162_master.mp3,4,4,11,14980235
164,Agnus Dei (Thomas Morley),2979,2,164_master.mp3,4,4,11,19317043
165,"Ahi, dispietata morte! (Luca Marenzio)",3229,2,165_master.mp3,4,4,11,37511949
166,Amar un sol amante (Lodovico Agostini),2798,2,166_master.mp3,4,4,11,43084922
167,Amours ont chang (Mahier),3960,2,167_master.mp3,4,4,11,16811570
168,Ancor che col partire (Cipriano de Rore),3266,2,168_master.mp3,4,4,11,18804492
169,Angelus ad pastores ait a 4 (Hans Leo Hassler),4425,2,169_master.mp3,4,4,11,27264584
170,Ashby (Oliver Holden),3143,2,170_master.mp3,4,4,11,7606676
171,Assouvy suys (Clment Janequin),2878,2,171_master.mp3,4,4,11,14011085
172,At Antioche there dyd remayne (Christopher Tye),2814,2,172_master.mp3,4,4,11,6704355
174,Au temps heureux (Jacques Arcadelt),4217,2,174_master.mp3,4,4,11,14081880
175,Aus tiefer Not schrei ich zu dir(1) 4vv-1 (Michael Praetorius),4396,2,175_master.mp3,4,4,11,16411840
176,Ave Maria (Arcadelt-Dietsch),2905,2,176_master.mp3,4,4,11,14010265
177,"Ave Maria II, a 4 (Giovanni Pierluigi da Palestrina)",3008,2,177_master.mp3,4,4,11,36123999
182,Avec le jour (Orlando di Lasso),3640,2,182_master.mp3,4,4,11,11318732
183,Beati eritis (Giovanni Croce),3866,2,183_master.mp3,4,4,11,18418306
184,Bedford (Ezra Goff),2637,2,184_master.mp3,4,4,11,9213004
186,Benedictus (Short Service) (Orlando Gibbons),3658,2,186_master.mp3,4,4,11,50248016
187,Benedictus Dominus Deus Israel (Antonio Lotti),3810,2,187_master.mp3,4,4,11,75726384
190,Cantate Domino (Giuseppe Pitoni),3322,2,190_master.mp3,4,4,11,12329000
191,Celle qui ma tant (Claudin de Sermisy),3487,2,191_master.mp3,4,4,11,16211516
192,Changing Seasons (Ananias Davisson),3641,2,192_master.mp3,4,4,11,6291032
193,Christus factus est (Giuseppe Pitoni),3312,2,193_master.mp3,4,4,11,32772476
194,Christus factus est (Johann Ernst Eberlin),3215,2,194_master.mp3,4,4,11,20551076
195,"Christus factus est, WAB 11 (Anton Bruckner)",3773,3,195_master.mp3,4,4,11,40023210
196,Clamabat autem mulier channanea (Pedro de Escobar),2805,3,196_master.mp3,4,4,11,55636368
197,Crucem sanctam (Johann Michael Haydn),3401,3,197_master.mp3,4,4,11,11076696
198,Cum luce prima Sabathi I (Andr Vierendeels),4369,3,198_master.mp3,4,4,11,13009563
199,De profundis clamavi (Christoph Willibald Gluck),3791,3,199_master.mp3,4,4,11,28469118
200,"Deliver us, O Lord our God (Adrian Batten)",3834,3,200_master.mp3,4,4,11,12426535
201,Dieu doint le boniour (Etienne Du Tertre),4262,3,201_master.mp3,4,4,11,13416902
202,"Dime, triste coran (Francisco de la Torre)",2961,3,202_master.mp3,4,4,11,10433978
203,"Domine, labia mea aperies (Orlando di Lasso)",4291,3,203_master.mp3,4,4,11,16998412
204,Dominion (Daniel Read),2578,3,204_master.mp3,4,4,11,9410334
205,Ecce quomodo moritur justus (Jacob Handl),4018,3,205_master.mp3,4,4,11,26045495
207,Eheu sustulerunt (Thomas Morley),4201,3,207_master.mp3,4,4,11,22134868
208,En contemplant vostre divinit (Jacques Du Buisson),3234,3,208_master.mp3,4,4,11,10813066
209,En esperant (Claudin de Sermisy),2686,3,209_master.mp3,4,4,11,14009876
210,Eram quasi agnus (Orlando di Lasso),3798,3,210_master.mp3,4,4,11,26545052
212,Exaltabo te Domine (Alessandro Scarlatti),3900,3,212_master.mp3,4,4,11,29185518
214,Exsurge Domine (Alessandro Scarlatti),4056,3,214_master.mp3,4,4,11,32628125
215,Fantasiant Amor (Joan Brudieu),4165,3,215_master.mp3,4,4,11,82441716
216,Filiae Jerusalem (Andrea Gabrieli),3457,3,216_master.mp3,4,4,11,28307659
217,Gi l'hora  tarda (Gioseppe Caimo),3998,3,217_master.mp3,4,4,11,14414037
218,Gloria laus (Christopher Tye),3327,3,218_master.mp3,4,4,11,36500009
219,"Gloria Patri, Z 105 (Henry Purcell)",3289,3,219_master.mp3,4,4,11,10790520
221,Greenwich (Daniel Read),4313,3,221_master.mp3,4,4,11,11612440
222,"Hau hau, hau le boys! (Claudin de Sermisy)",4415,3,222_master.mp3,4,4,11,21534518
223,Hic est vere martyr (Jacobus Clemens non Papa),4251,3,223_master.mp3,4,4,11,39585323
224,Hodie Paulus Apostolus (Luca Marenzio),3393,3,224_master.mp3,4,4,11,28427794
225,I heard a voice from heaven (Thomas Tomkins),3765,3,225_master.mp3,4,4,11,17181942
226,I vren (IV) (Ludvig Norman),3152,3,226_master.mp3,4,4,11,18479117
228,Improperium exspectavit (Giovanni Giorgi),3731,3,228_master.mp3,4,4,11,31415259
229,In monte Oliveti (Antonio Maria Pacchioni),3590,3,229_master.mp3,4,4,11,17044876
230,In te Domine speravi (Josquin des Prez),3370,3,230_master.mp3,4,4,11,28746536
231,Incipit lamentatio (Gregorio Allegri),2739,3,231_master.mp3,4,4,11,16610387
232,Io ti vorria contar (Orlando di Lasso),3815,3,232_master.mp3,4,4,11,13211165
233,J'ayme bien mon amy (double-canon) (Adrian Willaert),4189,3,233_master.mp3,4,4,11,14040061
234,Je ne mange point de porc (Claudin de Sermisy),3226,3,234_master.mp3,4,4,11,18730677
235,Je suis  vous (Etienne Du Tertre),3301,3,235_master.mp3,4,4,11,15617170
236,"Jesu, the very thought of thee (Edward Bairstow)",3758,3,236_master.mp3,4,4,11,18137024
237,Jubilate Deo (Adriano Banchieri),3478,3,237_master.mp3,4,4,11,18651533
238,La grand' amour (Philippe de Monte),3207,3,238_master.mp3,4,4,11,17695243
239,La meunire de Vernon (Clment Janequin),3575,3,239_master.mp3,4,4,11,17460984
240,Las si tu as plaisir (Etienne Du Tertre),2813,3,240_master.mp3,4,4,11,15015629
241,Lauda Sion I (Andr Vierendeels),4341,3,241_master.mp3,4,4,11,10408018
242,Laudate Dominum in sanctis ejus (Antonio Lotti),2871,3,242_master.mp3,4,4,11,54589934
245,Le vray ami (Claudin de Sermisy),3966,3,245_master.mp3,4,4,11,14413598
246,"Lo, country sports (Thomas Weelkes)",3073,3,246_master.mp3,4,4,11,16532258
247,Lovsng (August Sderman),4427,3,247_master.mp3,4,4,11,12410356
248,Massachusetts (Amos Pilsbury),4414,3,248_master.mp3,4,4,11,16777424
250,Memor esto verbi tui (Josquin des Prez),4435,3,250_master.mp3,4,4,11,136037978
252,Min vn r den bsta (August Sderman),4345,3,252_master.mp3,4,4,11,8156654
253,Miserere mei (Antonio Lotti),3455,3,253_master.mp3,4,4,11,117579623
254,Missa brevis in F (Giovanni Pierluigi da Palestrina),2735,4,254_master.mp3,4,4,11,58428774
255,Missa de bomba (Pedro Bermdez),3624,4,255_master.mp3,4,4,11,14213277
256,Missa in D (Giuseppe Antonio Bernabei),4348,4,256_master.mp3,4,4,11,22900630
259,"My God, my God, look upon me (John Blow)",4292,4,259_master.mp3,4,4,11,58244392
260,Nixington (Nehemiah Shumway),3299,4,260_master.mp3,4,4,11,10814712
261,O beata Virgo Maria (Oliver Hayes),3352,4,261_master.mp3,4,4,11,38816096
262,O dolce nocte (Philippe Verdelot),2991,4,262_master.mp3,4,4,11,19722128
263,"O God, the author of peace (Joseph Key)",4381,4,263_master.mp3,4,4,11,20619818
264,O Guds lamm (August Sderman),3089,4,264_master.mp3,4,4,11,14661597
266,"O Lord, how joyful is the King (William Cobbold)",3385,4,266_master.mp3,4,4,11,7608490
268,O notte O cielo O mar (Maddalena Casulana),3699,4,268_master.mp3,4,4,11,19611346
269,O sacrum convivium (Giovanni Giorgi),3854,4,269_master.mp3,4,4,11,34454395
270,O Saviour of the world (John Goss),2958,4,270_master.mp3,4,4,11,29818323
271,O sonno (Cipriano de Rore),3180,4,271_master.mp3,4,4,11,42140304
273,O vos omnes (voci impari) (Toms Luis de Victoria),3320,4,273_master.mp3,4,4,11,30850489
274,"O, Guds Lamm (Agnus Dei) (Harald Fryklf)",3539,4,274_master.mp3,4,4,11,19411746
276,Pingstpsalm (August Sderman),3196,4,276_master.mp3,4,4,11,23314185
277,Plange quasi virgo (Marco Antonio Ingegneri),3197,4,277_master.mp3,4,4,11,20680657
278,Popule meus (Giovanni Pierluigi da Palestrina),2891,4,278_master.mp3,4,4,11,22002861
279,Psalm 27 (Alice Tegnr),3878,4,279_master.mp3,4,4,11,17017220
281,Quand contremont (Clment Janequin),2812,4,281_master.mp3,4,4,11,12808983
282,Qui dort icy? (Orlando di Lasso),3876,4,282_master.mp3,4,4,11,21334741
283,Quis dabit oculis (Ludwig Senfl),4242,4,283_master.mp3,4,4,11,62939912
285,Regina caeli (Franz Xaver Witt),3796,4,285_master.mp3,4,4,11,20141652
286,"Requiem, KV 626 (Wolfgang Amadeus Mozart)",3909,4,286_master.mp3,4,4,11,58015016
287,Revelation (William Billings),3328,4,287_master.mp3,4,4,11,13406282
288,Rutland (William Billings),3360,4,288_master.mp3,4,4,11,29614002
289,Salve Regina (Ercole Bernabei),3038,4,289_master.mp3,4,4,11,30726535
290,Salve Regina a 4 (Giovanni Pierluigi da Palestrina),3178,4,290_master.mp3,4,4,11,56692142
291,"Sanctus, D696:3 (Franz Schubert)",3570,4,291_master.mp3,4,4,11,10037609
292,Scaramella (Josquin des Prez),4083,4,292_master.mp3,4,4,11,11715473
294,Since first I saw your face (Thomas Ford),3609,4,294_master.mp3,4,4,11,20012880
295,Summer Street (William Billings),3599,4,295_master.mp3,4,4,11,8808554
296,Te Deum (Short Service) (Orlando Gibbons),2870,4,296_master.mp3,4,4,11,58791040
297,Te Deum laudamus (Giovanni Francesco Anerio),3070,4,297_master.mp3,4,4,11,94157205
298,Those that do put their confidence (Richard Allison),3433,4,298_master.mp3,4,4,11,5250343
299,Tmeiskin was jonck (Heinrich Isaac),3994,4,299_master.mp3,4,4,11,23450669
300,Tu disoys que j'en mourroys (Claudin de Sermisy),2926,4,300_master.mp3,4,4,11,25015105
301,Unus ex discipulis (Toms Luis de Victoria),3918,4,301_master.mp3,4,4,11,20754692
303,Vedrassi prima (Giovanni Pierluigi da Palestrina),3620,4,303_master.mp3,4,4,11,13429420
304,Vrsng (Wilhelm Peterson-Berger),4022,4,304_master.mp3,4,4,11,14081657
305,With heart and mouth (Edmund Hooper),3631,4,305_master.mp3,4,4,11,8405898
307,Zagaleja de lo verde (Juan Vasquez),2944,4,307_master.mp3,4,4,11,40533537
